id,title,author,genry_type,genry,isbn
1,User-centric 5thgeneration portal,Peter Reed,nonfiction,Dictionary,978-1-4623-0828-6
2,Managed user-facing website,Martin Rose,nonfiction,Review,978-0-593-96180-3
3,Persistent modular paradigm,Dawn Hardy,fiction,Western,978-0-16-096399-5
4,Customizable solution-oriented implementation,Elizabeth Garcia,fiction,Thriller,978-1-4334-9535-9
5,Decentralized multimedia Local Area Network,David Moon,fiction,Mystery,978-1-359-58167-9
6,Cross-platform executive website,Margaret Miller,nonfiction,True crime,978-1-55055-171-6
7,Reactive incremental methodology,Sean Mathews,nonfiction,History,978-0-17-115430-6
8,Switchable optimal standardization,Lisa Franklin,nonfiction,Autobiography,978-0-477-07288-5
9,Secured exuding knowledgebase,Shelly Anthony,fiction,Thriller,978-0-372-46981-0
10,Intuitive contextually-based strategy,Adam Bernard,nonfiction,Diary,978-0-10-623481-3
11,Operative dedicated strategy,Casey Flores,fiction,Poetry,978-0-423-95433-3
12,Optimized systemic structure,Keith Ward,fiction,Romance,978-1-269-81548-2
13,Expanded tertiary focus group,Erin Mccormick,nonfiction,Art/architecture,978-1-161-08100-8
14,Decentralized directional paradigm,John Hernandez,fiction,Comic book,978-1-61673-536-4
15,Monitored national parallelism,George Phillips,fiction,Graphic novel,978-1-05-512755-3
16,Face-to-face zero administration artificial intelligence,Jesse Blanchard,nonfiction,Humor,978-0-411-81472-4
17,Diverse stable standardization,Susan Marquez,nonfiction,Memoir,978-0-7996-5445-5
18,Distributed contextually-based Graphic Interface,Kevin Case,nonfiction,History,978-0-9675643-7-1
19,Down-sized user-facing intranet,Bradley Oliver,nonfiction,Humor,978-0-305-79901-4
20,Cloned solution-oriented analyzer,Anna Wolf,nonfiction,Prayer,978-1-55777-833-8
21,Reverse-engineered global parallelism,Kelly Day,fiction,Fantasy,978-0-423-84028-5
22,Optimized scalable capability,Shannon Mccullough,fiction,Poetry,978-0-7762-0122-1
23,Switchable eco-centric capacity,Thomas Blair,fiction,Coming-of-age,978-0-229-03511-3
24,Multi-channeled didactic Graphic Interface,Jermaine Brown,nonfiction,Guide,978-1-05-851257-8
25,Enterprise-wide 4thgeneration benchmark,Chelsea Robinson,fiction,Satire,978-1-83294-123-5
